product_name,brand_id,product_link,current_price,original_price,percent_discount
Samsung Galaxy S24 Ultra 12GB 256GB,2,https://cellphones.com.vn/samsung-galaxy-s24-ultra.html,28.990.000₫,33.990.000₫,Giảm 15%
Samsung Galaxy S23 Ultra 256GB,2,https://cellphones.com.vn/samsung-galaxy-s23-ultra.html,22.290.000₫,31.990.000₫,Giảm 30%
Samsung Galaxy Z Flip5 512GB,2,https://cellphones.com.vn/samsung-galaxy-z-flip-5.html,20.390.000₫,29.990.000₫,Giảm 32%
Samsung Galaxy S22 Ultra (12GB - 256GB) - Chỉ có tại CellphoneS,2,https://cellphones.com.vn/samsung-galaxy-s22-ultra-12gb-256gb.html,17.550.000₫,33.990.000₫,Giảm 48%
Samsung Galaxy Z Fold5 12GB 256GB,2,https://cellphones.com.vn/samsung-galaxy-z-fold-5-256gb.html,33.790.000₫,40.990.000₫,Giảm 18%
Samsung Galaxy A15 LTE 8GB 128GB,2,https://cellphones.com.vn/samsung-galaxy-a15.html,4.590.000₫,4.990.000₫,Giảm 8%
Samsung Galaxy Z Flip5 256GB,2,https://cellphones.com.vn/samsung-galaxy-z-flip-5-256gb.html,17.990.000₫,25.990.000₫,Giảm 31%
Samsung Galaxy M14 5G 4GB 128GB,2,https://cellphones.com.vn/samsung-galaxy-m14.html,3.570.000₫,5.290.000₫,Giảm 33%
Samsung Galaxy S22 Ultra (8GB - 128GB),2,https://cellphones.com.vn/samsung-galaxy-s22-ultra.html,30.990.000₫,0,giảm 0%
Samsung Galaxy A05S 4GB 128GB,2,https://cellphones.com.vn/samsung-galaxy-a05s.html,3.490.000₫,3.990.000₫,Giảm 13%
Samsung Galaxy A54 5G 8GB 128GB,2,https://cellphones.com.vn/samsung-galaxy-a54.html,8.490.000₫,10.490.000₫,Giảm 19%
Samsung Galaxy A05 4GB 128GB,2,https://cellphones.com.vn/samsung-galaxy-a05.html,2.890.000₫,3.090.000₫,Giảm 6%
Samsung Galaxy S23 FE 5G 8GB 128GB,2,https://cellphones.com.vn/samsung-galaxy-s23-fe.html,12.090.000₫,14.890.000₫,Giảm 19%
Samsung Galaxy S23 Ultra 12GB 512GB,2,https://cellphones.com.vn/samsung-galaxy-s23-ultra-12gb-512gb.html,27.990.000₫,36.990.000₫,Giảm 24%
Samsung Galaxy A34 5G 8GB 128GB,2,https://cellphones.com.vn/samsung-galaxy-a34.html,6.990.000₫,8.490.000₫,Giảm 18%
Samsung Galaxy Z Flip4 256GB,2,https://cellphones.com.vn/samsung-galaxy-z-flip-4-256gb.html,11.490.000₫,25.990.000₫,Giảm 56%
Samsung Galaxy S24 Ultra 12GB 512GB,2,https://cellphones.com.vn/samsung-galaxy-s24-ultra-512gb.html,32.490.000₫,37.490.000₫,Giảm 13%
Samsung Galaxy S21 FE 8GB 128GB,2,https://cellphones.com.vn/samsung-galaxy-s21-fe-8gb-128gb.html,9.590.000₫,16.990.000₫,Giảm 44%
Samsung Galaxy A23 5G,2,https://cellphones.com.vn/samsung-galaxy-a23-5g.html,4.650.000₫,5.990.000₫,Giảm 22%
Samsung Galaxy A25 5G 6GB 128GB,2,https://cellphones.com.vn/samsung-galaxy-a25.html,6.090.000₫,6.590.000₫,Giảm 8%
Xiaomi Redmi Note 13 6GB 128GB,3,https://cellphones.com.vn/xiaomi-redmi-note-13.html,4.590.000₫,4.890.000₫,Giảm 6%
Xiaomi Redmi Note 13 Pro Plus 5G 8GB 256GB,3,https://cellphones.com.vn/xiaomi-redmi-note-13-pro-plus.html,10.690.000₫,10.990.000₫,Giảm 3%
Xiaomi Redmi Note 12 4GB 128GB,3,https://cellphones.com.vn/xiaomi-redmi-note-12.html,3.790.000₫,4.990.000₫,Giảm 24%
Xiaomi Redmi Note 12 8GB 128GB,3,https://cellphones.com.vn/xiaomi-redmi-note-12-8gb-128gb.html,4.390.000₫,5.790.000₫,Giảm 24%
Xiaomi POCO X6 Pro 5G 8GB 256GB - Chỉ có tại CellphoneS,3,https://cellphones.com.vn/dien-thoai-xiaomi-poco-x6-pro.html,8.990.000₫,9.990.000₫,Giảm 10%
Xiaomi 13T 12GB 256GB,3,https://cellphones.com.vn/xiaomi-13t.html,11.290.000₫,12.990.000₫,Giảm 13%
Xiaomi Redmi 13C 6GB 128GB,3,https://cellphones.com.vn/xiaomi-redmi-13c.html,3.290.000₫,3.490.000₫,Giảm 6%
Xiaomi 13 8GB 256GB,3,https://cellphones.com.vn/xiaomi-13.html,18.090.000₫,22.990.000₫,Giảm 21%
Xiaomi 13T Pro 5G (12GB - 512GB) - Chỉ có tại CellphoneS,3,https://cellphones.com.vn/xiaomi-13t-pro.html,14.690.000₫,16.990.000₫,Giảm 14%
Xiaomi Redmi Note 12 Pro 5G,3,https://cellphones.com.vn/xiaomi-redmi-note-12-pro-5g.html,7.990.000₫,9.490.000₫,Giảm 16%
Xiaomi 13 Lite,3,https://cellphones.com.vn/xiaomi-13-lite.html,8.990.000₫,11.490.000₫,Giảm 22%
Xiaomi Redmi 12C 4GB 64GB,3,https://cellphones.com.vn/xiaomi-redmi-12c.html,2.390.000₫,3.590.000₫,Giảm 33%
Xiaomi POCO X5 5G 8GB 256GB,3,https://cellphones.com.vn/poco-x5-256gb.html,6.050.000₫,7.490.000₫,Giảm 19%
Xiaomi Redmi Note 11 Pro 5G,3,https://cellphones.com.vn/xiaomi-redmi-note-11-pro-5g.html,6.590.000₫,8.990.000₫,Giảm 27%
Xiaomi POCO M5s 6GB 128GB,3,https://cellphones.com.vn/xiaomi-poco-m5s-6gb-128gb.html,4.190.000₫,5.290.000₫,Giảm 21%
Xiaomi Redmi Note 12 Pro 4G 8GB 256GB,3,https://cellphones.com.vn/xiaomi-redmi-note-12-pro-4g.html,6.490.000₫,7.990.000₫,Giảm 19%
Xiaomi Redmi Note 11 128GB,3,https://cellphones.com.vn/xiaomi-redmi-note-11-128gb.html,4.090.000₫,4.990.000₫,Giảm 18%
Xiaomi Redmi 10A,3,https://cellphones.com.vn/xiaomi-redmi-10a.html,2.400.000₫,2.890.000₫,Giảm 17%
Redmi A2 2GB 32GB,3,https://cellphones.com.vn/xiaomi-redmi-a2.html,1.750.000₫,2.190.000₫,Giảm 20%
Xiaomi 12T 8GB 128GB,3,https://cellphones.com.vn/xiaomi-mi-12t.html,8.990.000₫,12.490.000₫,Giảm 28%
Xiaomi Redmi Note 12S,3,https://cellphones.com.vn/xiaomi-redmi-note-12s.html,5.490.000₫,6.690.000₫,Giảm 18%
Xiaomi Redmi Note 11,3,https://cellphones.com.vn/xiaomi-redmi-note-11.html,3.890.000₫,4.690.000₫,Giảm 17%
