product_name,brand_id,product_link,current_price,original_price,percent_discount
iMac M3 24 inch 16GB 512GB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/imac-m3-2023-24-inch-16gb-512gb-75038.html,45.990.000₫,46.990.000₫,Giảm 2%
MacBook Air 15 inch M2 2023 16GB 256GB sạc 35W | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-air-15-inch-m2-2023-16gb-256gb-sac-35w.html,35.690.000₫,37.990.000₫,Giảm 6%
MacBook Air 15 inch M2 2023 16GB 512GB sạc 35W | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-air-15-inch-m2-2023-16gb-512gb-sac-35w.html,41.190.000₫,42.990.000₫,Giảm 4%
Mac mini M2 2023 (8 CPU - 10 GPU - 8GB - 256GB) | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/mac-mini-m2-2023.html,14.790.000₫,15.990.000₫,Giảm 8%
Apple MacBook Pro 13 Touch Bar M1 256GB 2020 I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1.html,27.590.000₫,35.990.000₫,Giảm 23%
Apple Macbook Air M2 2022 8GB 512GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-air-m2-2022-512gb.html,32.490.000₫,39.990.000₫,Giảm 19%
Apple MacBook Pro 13 M2 2022 8GB 512GB I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-pro-m2-2022-512gb.html,34.990.000₫,41.990.000₫,Giảm 17%
Apple Mac mini M1 256GB 2020 I Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/mac-mini-2020-m1.html,13.990.000₫,19.990.000₫,Giảm 30%
MacBook Pro 14 inch M2 Pro 2023 (10 CPU - 16 GPU - 32GB - 512GB),1,https://cellphones.com.vn/macbook-pro-14-inch-m2-pro-32gb-2023.html,58.990.000₫,63.990.000₫,Giảm 8%
MacBook Pro 14 inch M3 2023 (8 CPU - 10 GPU 16GB 512GB),1,https://cellphones.com.vn/macbook-pro-14-inch-m3-2023-16gb-512gb.html,44.990.000₫,0,giảm 0%
Macbook Pro 16 M3 Max 36GB - 1TB | Chính hãng Apple Việt Nam,1,https://cellphones.com.vn/macbook-pro-16-inch-m3-max-2023-36gb-1tb.html,89.990.000₫,0,giảm 0%
