product_name,current_price,original_price,percent_discount,product_link,brand_name
Samsung Galaxy S22 Ultra (8GB - 128GB),30990000,30990000,0,https://cellphones.com.vn/samsung-galaxy-s22-ultra.html,samsung
Samsung Galaxy A05S 4GB 128GB,3490000,3990000,13,https://cellphones.com.vn/samsung-galaxy-a05s.html,samsung
Samsung Galaxy A54 5G 8GB 128GB,8490000,10490000,19,https://cellphones.com.vn/samsung-galaxy-a54.html,samsung
Samsung Galaxy A05 4GB 128GB,2890000,3090000,6,https://cellphones.com.vn/samsung-galaxy-a05.html,samsung
Samsung Galaxy S23 FE 5G 8GB 128GB,12090000,14890000,19,https://cellphones.com.vn/samsung-galaxy-s23-fe.html,samsung
Samsung Galaxy S23 Ultra 12GB 512GB,27990000,36990000,24,https://cellphones.com.vn/samsung-galaxy-s23-ultra-12gb-512gb.html,samsung
Samsung Galaxy A34 5G 8GB 128GB,6990000,8490000,18,https://cellphones.com.vn/samsung-galaxy-a34.html,samsung
Samsung Galaxy Z Flip4 256GB,11490000,25990000,56,https://cellphones.com.vn/samsung-galaxy-z-flip-4-256gb.html,samsung
Samsung Galaxy S24 Ultra 12GB 512GB,32490000,37490000,13,https://cellphones.com.vn/samsung-galaxy-s24-ultra-512gb.html,samsung
Samsung Galaxy S21 FE 8GB 128GB,9590000,16990000,44,https://cellphones.com.vn/samsung-galaxy-s21-fe-8gb-128gb.html,samsung
Samsung Galaxy A23 5G,4650000,5990000,22,https://cellphones.com.vn/samsung-galaxy-a23-5g.html,samsung
Samsung Galaxy A25 5G 6GB 128GB,6090000,6590000,8,https://cellphones.com.vn/samsung-galaxy-a25.html,samsung
Xiaomi Redmi Note 13 6GB 128GB,4590000,4890000,6,https://cellphones.com.vn/xiaomi-redmi-note-13.html,xiaomi
Xiaomi Redmi Note 13 Pro Plus 5G 8GB 256GB,10690000,10990000,3,https://cellphones.com.vn/xiaomi-redmi-note-13-pro-plus.html,xiaomi
Xiaomi Redmi Note 12 4GB 128GB,3790000,4990000,24,https://cellphones.com.vn/xiaomi-redmi-note-12.html,xiaomi
Xiaomi Redmi Note 12 8GB 128GB,4390000,5790000,24,https://cellphones.com.vn/xiaomi-redmi-note-12-8gb-128gb.html,xiaomi
Xiaomi POCO X6 Pro 5G 8GB 256GB - Chỉ có tại CellphoneS,8990000,9990000,10,https://cellphones.com.vn/dien-thoai-xiaomi-poco-x6-pro.html,xiaomi
Xiaomi 13T 12GB 256GB,11290000,12990000,13,https://cellphones.com.vn/xiaomi-13t.html,xiaomi
Xiaomi Redmi 13C 6GB 128GB,3290000,3490000,6,https://cellphones.com.vn/xiaomi-redmi-13c.html,xiaomi
Xiaomi 13 8GB 256GB,18090000,22990000,21,https://cellphones.com.vn/xiaomi-13.html,xiaomi
Xiaomi 13T Pro 5G (12GB - 512GB) - Chỉ có tại CellphoneS,14690000,16990000,14,https://cellphones.com.vn/xiaomi-13t-pro.html,xiaomi
Xiaomi Redmi Note 12 Pro 5G,7990000,9490000,16,https://cellphones.com.vn/xiaomi-redmi-note-12-pro-5g.html,xiaomi
Xiaomi 13 Lite,8990000,11490000,22,https://cellphones.com.vn/xiaomi-13-lite.html,xiaomi
