product_name,current_price,original_price,percent_discount,product_link,brand_name
Apple MacBook Pro 13 Touch Bar M1 256GB 2020 I Chính hãng Apple Việt Nam,27590000,35990000,23,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1.html,mac
Apple Macbook Air M2 2022 8GB 512GB I Chính hãng Apple Việt Nam,32490000,39990000,19,https://cellphones.com.vn/macbook-air-m2-2022-512gb.html,mac
Apple MacBook Pro 13 M2 2022 8GB 512GB I Chính hãng Apple Việt Nam,34990000,41990000,17,https://cellphones.com.vn/macbook-pro-m2-2022-512gb.html,mac
Apple Mac mini M1 256GB 2020 I Chính hãng Apple Việt Nam,13990000,19990000,30,https://cellphones.com.vn/mac-mini-2020-m1.html,mac
MacBook Pro 14 inch M2 Pro 2023 (10 CPU - 16 GPU - 32GB - 512GB),58990000,63990000,8,https://cellphones.com.vn/macbook-pro-14-inch-m2-pro-32gb-2023.html,mac
MacBook Pro 14 inch M3 2023 (8 CPU - 10 GPU 16GB 512GB),44990000,44990000,0,https://cellphones.com.vn/macbook-pro-14-inch-m3-2023-16gb-512gb.html,mac
Macbook Pro 16 M3 Max 36GB - 1TB | Chính hãng Apple Việt Nam,89990000,89990000,0,https://cellphones.com.vn/macbook-pro-16-inch-m3-max-2023-36gb-1tb.html,mac
Mac mini M2 2023 (8 CPU - 10 GPU - 24GB - 512GB) | Chính hãng Apple Việt Nam,29990000,32990000,9,https://cellphones.com.vn/mac-mini-m2-24gb-512gb-2023.html,mac
MacBook Pro 14 inch M2 Pro 2023 (12 CPU - 19 GPU 16GB 1TB 2023),60990000,65990000,8,https://cellphones.com.vn/macbook-pro-14-inch-m2-pro-1tb-2023.html,mac
Mac mini M2 Pro 2023 (10 CPU - 16 GPU - 16GB - 1TB) | Chính hãng Apple Việt Nam,36990000,36990000,0,https://cellphones.com.vn/mac-mini-m2-pro-16gb-1tb-2023.html,mac
Macbook Pro 14 inch M2 Max 64GB 2023 (12 CPU - 30 GPU - 64GB - 1TB),88990000,92990000,4,https://cellphones.com.vn/macbook-pro-14-inch-m2-max-64gb-2023.html,mac
Macbook Pro 14 inch M3 Pro 18GB - 512GB | Chính hãng Apple Việt Nam,49990000,49990000,0,https://cellphones.com.vn/macbook-pro-14-inch-m3-pro-2023-18gb-512gb-sac-96w.html,mac
MacBook Air 15 inch M2 2023 8GB 512GB sạc 70W | Chính hãng Apple Việt Nam,37990000,37990000,0,https://cellphones.com.vn/macbook-air-15-inch-m2-2023-512gb-sac-70w.html,mac
Mac Studio M2 Max 2023 | Chính hãng Apple Việt Nam,54990000,54990000,0,https://cellphones.com.vn/mac-studio-m2-max-2023.html,mac
Macbook Pro 16 M3 Max 48GB - 1TB | Chính hãng Apple Việt Nam,102490000,102490000,0,https://cellphones.com.vn/macbook-pro-16-inch-m3-max-2023-48gb-1tb.html,mac
Mac mini M2 2023 (8 CPU - 10 GPU - 16GB - 1TB) | Chính hãng Apple Việt Nam,29990000,29990000,0,https://cellphones.com.vn/mac-mini-m2-2023-16gb-1tb.html,mac
Apple iMac 24 2021 M1 7GPU 16GB 256GB Chính Hãng,40990000,40990000,0,https://cellphones.com.vn/imac-2021-16gb.html,mac
MacBook Pro 16 inch M2 Pro 2023 (12 CPU - 19 GPU - 32GB - 1TB),82990000,82990000,0,https://cellphones.com.vn/macbook-pro-16-inch-m2-pro-32gb-1tb-2023.html,mac
Macbook Pro 16 inch 2021 M1 Max 10 CPU - 24 GPU 64GB 1TB 2021 | Chính hãng Apple Việt Nam,101990000,101990000,0,https://cellphones.com.vn/macbook-pro-16-inch-2021-m1-max-24gpu-64gb-1tb.html,mac
Macbook Pro 14 inch M3 Pro (11CPU 14GPU 36GB 512GB),59990000,59990000,0,https://cellphones.com.vn/macbook-pro-14-inch-m3-pro-2023-36gb-512gb-75858.html,mac
Mac mini M2 Pro 2023 (10 CPU - 16 GPU - 32GB - 1TB) | Chính hãng Apple Việt Nam,46990000,46990000,0,https://cellphones.com.vn/mac-mini-m2-pro-32gb-1tb-2023.html,mac
iMac M3 24 inch 8GB 256GB 10 GPU | Chính hãng Apple Việt Nam,41990000,41990000,0,https://cellphones.com.vn/imac-m3-2023-24-inch-8gb-256gb-10gpu.html,mac
Macbook Pro 16 inch M2 Max 64GB 2023 (12CPU - 38 GPU - 64GB - 1TB),0,0,0,https://cellphones.com.vn/macbook-pro-16-inch-m2-max-64gb-2023.html,mac
